"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RNA5SP407",153.593009905541,0.820189008360681,0.0914022446908206,8.9734011580905,2.87496739087258e-19,7.77018213749347e-18
"LOC125146438",151.106101842112,0.901783175551826,0.0939242322939049,9.60117696496036,7.90366818387469e-22,8.78185353763854e-20
"ZC3H11C",152.563765244859,0.877206551246476,0.0919198893206075,9.54316370189335,1.38540117624608e-21,1.00554424758586e-19
"LOC126807150",152.635072312325,0.928507377098241,0.0925863165608068,10.028559419884,1.14170128940969e-23,3.80567096469897e-21
"MED14",149.792560164728,0.919530427943619,0.0984352474165848,9.341475254815,9.50010618893319e-21,3.80004247557328e-19
"TRR-CCT1-1",151.353279486227,0.800492364842178,0.0930253145844893,8.60510247579048,7.62486081814703e-18,1.65757843872761e-16
"PCDHGA1",154.9548515634,0.84008657502033,0.0911959481496282,9.2118848706082,3.20447681755773e-20,1.10499200605439e-18
"LOC122889058",157.921458544372,0.829606930589228,0.09053332060875,9.16355354040827,5.02158756763224e-20,1.61986695730072e-18
"SF1-DT",152.609986799381,0.864407393182592,0.0934528477854646,9.24966347913733,2.2520056440319e-20,8.04287730011391e-19
"SMURF2",161.470564424214,0.776992673582209,0.0878843713671616,8.84107903936759,9.47985638585235e-19,2.43073240662881e-17
"LOC124901454",156.940104465367,0.864562862841267,0.0916188176552839,9.43652062935572,3.85363418507792e-21,1.75165190230815e-19
"DDX11L3",160.954036077148,0.87693821335125,0.0898861666211216,9.75609758782599,1.7371129664353e-22,2.48158995205043e-20
"LOC123956245",155.016582344656,0.908280573939233,0.0952640556412737,9.53434711366324,1.50831637137879e-21,1.00554424758586e-19
"OR51F2",148.295450727186,0.897806908966627,0.0950035715307681,9.45024375926605,3.38042549195155e-21,1.62363684637104e-19
"MACIR",163.695774271083,0.833664712880481,0.0878185024673747,9.49304177886881,2.24389012848673e-21,1.24660562693707e-19
"FRMD4A",157.527205018157,0.828543311226886,0.0917373150652167,9.03169348958893,1.69035317060691e-19,4.72771912013847e-18
